time[sec],velocity[sec],angle[rad],x[m],y[m],,
3.09,8.584013,0,0,13.238646,5600.0001668741,
3.12,8.667353,0,0,13.496092,5599.9329722477,
3.15,8.750692,0,0,13.758497,5600.0001668741,
3.18,8.834032,0,0,14.024103,5600.0673615004,
3.21,8.917373,0,0,14.289705,5599.9329722477,
3.24,9.000712,0,0,14.559649,5600.0001668741,
3.27,9.084052,0,0,14.829592,5600.0673615006,
3.3,9.167393,0,0,15.104296,5599.9329722476,
3.33,9.250732,0,0,15.379,5600.0673615006,
3.36,9.334073,0,0,15.658632,5600.0001668741,
3.39,9.417413,0,0,15.938265,5599.9329722477,
3.42,9.500752,0,0,16.222895,5600.0001668741,
3.45,9.584092,0,0,16.507524,5600.0001668741,
3.48,9.667432,0,0,16.797209,5600.0001668741,
3.51,9.750772,0,0,17.089899,5600.0001668741,
3.54,9.834112,0,0,17.382589,5600.0001668742,
3.57,9.917452,0,0,17.679667,5600.0001668741,
3.6,10.000792,0,0,17.97674,5599.9329722476,
3.63,10.084131,0,0,18.278776,5600.0001668742,
3.66,10.167471,0,0,18.583845,5600.0001668741,
3.69,10.250811,0,0,18.88891,5599.9329722476,
3.72,10.33415,0,0,19.198362,5600.0673615006,
3.75,10.417491,0,0,19.507818,5600.0001668741,
3.78,10.500831,0,0,19.822317,5600.0001668741,
3.81,10.584171,0,0,20.139715,5600.0001668741,
3.84,10.667511,0,0,20.457109,5600.0001668742,
3.87,10.750851,0,0,20.779005,5599.9329722476,
3.9,10.83419,0,0,21.103868,5600.0001668741,
3.93,10.91753,0,0,21.428732,5600.0673615006,
3.96,11.000871,0,0,21.758036,5599.9329722477,
3.99,11.08421,0,0,22.090338,5600.0001668741,
4.02,11.16755,0,0,22.422636,5600.0001668741,
4.05,11.25089,0,0,22.759375,5600.0001668741,
4.08,11.33423,0,0,23.0991,5600.0673615006,
4.11,11.417571,0,0,23.438826,5600.0673615004,
4.14,11.500912,0,0,23.78303,5600.0001668741,
4.17,11.584252,0,0,24.130171,5600.0673615006,
4.2,11.667593,0,0,24.477316,5600.0673615006,
4.23,11.750934,0,0,24.829031,5599.9329722476,
4.26,11.834273,0.000181,0.000044,25.183588,5600.0673615006,
4.29,11.917614,0.000927,0.000288,25.54088,5600.1345561269,
4.32,12.000956,0.002247,0.000532,25.898176,5600.0001668741,
4.35,12.084296,0.003346,0.001375,26.259722,5600.0673615004,
4.38,12.167637,0.005749,0.003071,26.624727,5600.0673615006,
4.41,12.250978,0.008595,0.004768,26.989733,5600.0001668741,
4.44,12.334318,0.01094,0.008068,27.359262,5600.0673615006,
4.47,12.417659,0.01422,0.011368,27.728796,5600.0001668741,
4.5,12.500999,0.016892,0.017086,28.103292,5600.0673615004,
4.53,12.58434,0.020691,0.024767,28.480787,5600.1345561269,
4.56,12.667682,0.024914,0.032448,28.858286,5600.0001668742,
4.59,12.751022,0.028327,0.043489,29.24008,5600.0673615004,
4.62,12.834363,0.032797,0.054529,29.621874,5600.0673615006,
4.65,12.917704,0.036356,0.070244,30.008554,5600.0001668741,
4.68,13.001044,0.041246,0.089247,30.39797,5600.0673615004,
4.71,13.084385,0.046561,0.108252,30.787394,5600.0001668742,
4.74,13.167725,0.050767,0.133036,31.18099,5600.0001668741,
4.77,13.251065,0.056228,0.16223,31.577234,5600.0673615004,
4.8,13.334406,0.062223,0.191423,31.973478,5332.9015268055,
4.83,13.413771,0.066911,0.228077,32.373581,-7582.9807875199,
4.86,13.30092,0.07328,0.269911,32.771629,-7582.9135928934,
