time[sec],velocity[sec],angle[rad],x[m],y[m]
4.62,12.406757,0,0,28.438236
4.65,12.54627,0,0,28.807129
4.68,12.685784,0,0,29.176023
4.71,12.82622,0,0,29.551992
4.74,12.966681,0,0,29.932734
4.77,13.106723,0,0,30.318144
4.8,13.246766,0,0,30.703558
4.83,13.385485,0,0,31.09635
4.86,13.522647,0,0,31.494402
4.89,13.659811,0,0,31.892458
4.92,13.793745,0,0,32.298691
4.95,13.924953,0,0,32.710075
4.98,14.05306,0,0,33.126373
5.01,14.181167,0,0,33.542671
5.04,14.303745,0,0,33.966526
5.07,14.421884,0,0,34.395447
5.1,14.540022,0,0,34.824368
5.13,14.650546,0,0,35.26083
5.16,14.755815,0,0,35.701614
5.19,14.855713,0,0,36.146255
5.22,14.955612,0,0,36.5909
5.25,15.046765,0,0,37.041054
5.28,15.131675,0,0,37.494484
5.31,15.216585,0,0,37.947914
5.34,15.29175,0,0,38.405693
5.37,15.36088,0,0,38.865578
5.4,15.424351,0,0,39.327095
5.43,15.487823,0,0,39.788616
5.46,15.543033,0,0,40.252106
5.49,15.592794,0,0,40.716579
5.52,15.642556,0,0,41.181053
5.55,15.685076,0,0,41.646564
5.58,15.723383,0,0,42.112537
5.61,15.761691,0,0,42.578514
5.64,15.794756,0,0,43.045048
5.67,15.825169,0,0,43.511955
5.7,15.855582,0,0,43.978867
5.73,15.883182,0,0,44.446468
5.76,15.909837,0,0,44.914757
5.79,15.936492,0,0,45.383045
5.82,15.962932,0,0,45.852661
5.85,15.990225,0,0,46.323532
5.88,16.017519,0,0,46.794407
5.91,16.047188,0,0,47.26749
5.94,16.076857,0,0,47.740574
5.97,16.110912,0,0,48.216839
6,16.14855,0,0,48.695305
6.03,16.186186,0,0,49.173775
6.06,16.230457,0,0,49.656044
6.09,16.219852,0,0,50.139076
6.12,16.209248,0,0,50.622116
6.15,16.019154,0,0,51.097343
6.18,15.893752,0,0,51.56942
6.21,15.768351,0,0,52.0415
6.24,15.764236,0,0,52.513348
6.27,15.760122,0,0,52.985195
6.3,15.836394,0,0,53.459763
6.33,15.924978,0,0,53.937256
6.36,16.013561,0,0,54.414753
6.39,16.113806,0,0,54.896568
6.42,16.21405,0,0,55.378384
6.45,16.325209,0,0,55.865215
6.48,16.442114,0,0,56.355206
6.51,16.559019,0,0,56.845196
6.54,16.683411,0,0,57.339924
6.57,16.807802,0,0,57.834656
6.6,16.939425,0,0,58.335171
6.63,17.074184,0,0,58.839405
6.66,17.208946,0,0,59.343647
6.69,17.347279,0,0,59.853939
6.72,17.486942,0,0,60.368809
6.75,17.626606,0,0,60.883682
6.78,17.766809,0,0,61.405563
6.81,17.907013,0,0,61.927444
6.84,18.045879,0,0,62.458134
6.87,18.182535,0,0,62.994312
6.9,18.319193,0,0,63.530491
6.93,18.451014,0,0,64.075424
6.96,18.578444,0,0,64.626183
6.99,18.705873,0,0,65.176949
7.02,18.825359,0,0,65.736359
7.05,18.938511,0,0,66.301224
7.08,19.051662,0,0,66.866089
7.11,19.043285,0,0,67.438454
7.14,18.900993,0,0,68.006676
7.17,18.758701,0,0,68.574905
7.2,18.551493,0,0,69.133156
7.23,18.330669,0,0,69.68306
7.26,18.109844,0,0,70.232964
7.29,17.87624,0,0,70.769623
7.32,17.642635,0,0,71.30629
7.35,17.398115,0,0,71.826622
7.38,17.148699,0,0,72.336693
7.41,16.899281,0,0,72.846764
7.44,16.643934,0,0,73.341415
7.47,16.388588,0,0,73.836067
7.5,16.128553,0,0,74.313599
7.53,15.868517,0,0,74.79113
7.56,15.605865,0,0,75.251579
7.59,15.342854,0,0,75.701141
7.62,15.079843,0,0,76.150711
7.65,14.817565,0,0,76.585831
7.68,14.555286,0,0,77.020958
7.71,14.295242,0,0,77.440834
7.74,14.035197,0,0,77.860718
7.77,13.775151,0,0,78.280602
7.8,13.520395,0,0,78.67897
7.83,13.265637,0,0,79.077347
7.86,13.016448,0,0,79.460869
7.89,12.767259,0,0,79.844391
7.92,12.524593,0,0,80.213608
7.95,12.281928,0,0,80.582825
7.98,12.039261,0,0,80.952049
8.01,11.806606,0,0,81.301903
8.04,11.573954,0,0,81.651749
8.07,11.34938,0,0,81.987442
8.1,11.124808,0,0,82.323135
8.13,10.900238,0,0,82.658829
8.16,10.686475,0,0,82.976173
8.19,10.472713,0,0,83.293518
8.22,10.258951,0,0,83.610855
8.25,10.056256,0,0,83.909378
8.28,9.853562,0,0,84.207901
8.31,9.65087,0,0,84.506424
8.34,9.458535,0,0,84.786568
8.37,9.266201,0,0,85.066711
8.4,9.073867,0,0,85.346855
8.43,8.890873,0,0,85.609039
8.46,8.707879,0,0,85.871223
8.49,8.524886,0,0,86.133408
8.52,8.350089,0,0,86.377892
