time [sec],velocity [m/s],angle [rad],x[m],y [m],Torque,,,
1.679999,4.667037,2.03167E-005,3.392422,2.035492,5600.0001668741,,,2581.4030769231
1.709999,4.750377,0.000024323,3.506859,2.104156,5600.0001668741,,,2581.4030769231
1.739999,4.833717,2.83908E-005,3.6213,2.172821,5600.0001668741,,,2581.4030769231
1.769999,4.917057,3.23971E-005,3.735737,2.241486,5600.0001668741,,,2581.4030769231
1.799999,5.000397,2.92178E-005,3.87199,2.323242,5600.0001668741,,,2581.4030769231
1.829999,5.083737,2.64866E-005,4.008244,2.404984,5600.0001668741,,,2581.4030769231
1.859999,5.167077,2.36948E-005,4.144497,2.48674,5600.0001668741,,,2581.4030769231
1.889999,5.250417,1.42743E-005,4.28075,2.568481,5600.0001668741,,,2581.4030769231
1.919999,5.333757,1.14825E-005,4.417004,2.650238,5600.0001668741,,,2581.4030769231
1.949999,5.417097,8.75144E-006,4.553257,2.731979,5599.9329722476,,,2581.3721025641
1.979999,5.500436,0,4.689507,2.813736,5600.0001668741,,,2581.4030769231
2.009999,5.583776,-3.39966E-006,4.82576,2.895477,5600.0001668741,,,2581.4030769231
2.039999,5.667116,-5.21344E-006,4.962009,2.977234,5600.0001668741,,,2581.4030769231
2.069999,5.750456,-1.29886E-006,5.116413,3.06987,5600.0673615005,,,2581.4340512821
2.099998,5.833797,0,5.270817,3.162506,5599.9329722477,,,2581.3721025641
2.129998,5.917136,2.17529E-006,5.42522,3.255142,5600.0001668741,,,2581.4030769231
2.159998,6.000476,3.91257E-006,5.579624,3.347794,5600.0001668741,,,2581.4030769231
2.189998,6.083816,5.64986E-006,5.734028,3.44043,5600.0001668741,,,2581.4030769231
2.219998,6.167156,6.42178E-006,5.888432,3.533066,5599.9329722476,,,2581.3721025641
2.249998,6.250495,7.19371E-006,6.042831,3.625717,5600.0673615005,,,2581.4340512821
2.279998,6.333836,7.73857E-006,6.197235,3.718353,5600.0001668741,,,2581.4030769231
2.309998,6.417176,8.3511E-006,6.367958,3.820786,5599.9329722476,,,2581.3721025641
2.339998,6.500515,7.51551E-006,6.538681,3.923218,5600.0673615005,,,2581.4340512821
2.369998,6.583856,6.73912E-006,6.709404,4.02565,5599.9329722477,,,2581.3721025641
2.399998,6.667195,6.85752E-006,6.880123,4.128082,5600.0001668741,,,2581.4030769231
2.429998,6.750535,6.91672E-006,7.050846,4.230515,5600.0001668741,,,2581.4030769231
2.459998,6.833875,0,7.221565,4.332947,5600.0001668741,,,2581.4030769231
2.489998,6.917215,0,7.392288,4.435379,5600.0001668741,,,2581.4030769231
2.519998,7.000555,0,7.577438,4.546463,5600.0001668741,,,2581.4030769231
2.549998,7.083895,-3.82972E-006,7.762589,4.657547,5600.0001668741,,,2581.4030769231
2.579998,7.167235,-8.45735E-006,7.947739,4.768631,5600.0001668741,,,2581.4030769231
2.609998,7.250575,-1.32021E-005,8.132889,4.87973,5600.0001668741,,,2581.4030769231
2.639998,7.333915,-1.14319E-005,8.318043,4.990814,5599.9329722476,,,2581.3721025641
2.669998,7.417254,-1.62353E-005,8.503193,5.101913,5600.0001668741,,,2581.4030769231
2.699998,7.500594,-1.35797E-005,8.688343,5.212997,5600.0001668741,,,2581.4030769231
2.729998,7.583934,-1.72538E-005,8.887901,5.332733,5600.0001668741,,,2581.4030769231
2.759998,7.667274,-2.04474E-005,9.08746,5.452469,5600.0673615005,,,2581.4340512821
2.789998,7.750615,-1.08776E-005,9.287018,5.572205,5600.0001668741,,,2581.4030769231
2.819998,7.833955,-1.41153E-006,9.486572,5.69194,5600.0001668741,,,2581.4030769231
2.849998,7.917295,0,9.686127,5.811676,5599.9329722476,,,2581.3721025641
2.879998,8.000634,2.87671E-006,9.885685,5.931412,5600.0001668741,,,2581.4030769231
2.909998,8.083974,4.85917E-006,10.097805,6.058685,5600.0001668741,,,2581.4030769231
2.939998,8.167314,3.75571E-006,10.309929,6.185974,5600.0001668742,,,2581.4030769231
2.969998,8.250654,2.65225E-006,10.522049,6.313232,5600.0001668741,,,2581.4030769231
2.999998,8.333994,1.40899E-005,10.734169,6.440521,5600.0001668741,,,2581.4030769231
3.029998,8.417334,0.000019257,10.946293,6.56778,5600.0001668741,,,2581.4030769231
3.059998,8.500674,2.44241E-005,11.158413,6.695068,5600.0001668741,,,2581.4030769231
3.089998,8.584014,2.83976E-005,11.38298,6.829803,5600.0001668741,,,2581.4030769231
3.119998,8.667354,1.62762E-005,11.607548,6.964539,5599.9329722477,,,2581.3721025641
3.149997,8.750693,1.13849E-005,11.832115,7.099274,5600.0673615006,,,2581.4340512821
3.179997,8.834034,-5.98631E-006,12.056679,7.234009,5600.0001668741,,,2581.4030769231
